"","State","Year","Political_Party","New_Policies","Renewable_Percent"
"238","IA",2005,"Democrat",1,9
"239","IA",2006,"Democrat",6,10
"240","IA",2007,"Democrat",1,11
"241","IA",2008,"Democrat",5,13
"242","IA",2009,"Democrat",6,17
"243","IA",2010,"Democrat",5,19
"244","IA",2011,"Republican (2nd Gov. mid-year)",1,19
"245","IA",2012,"Republican",3,21
"246","IA",2013,"Republican",1,20
"247","IA",2014,"Republican",0,21
"248","IA",2015,"Republican",0,23
"249","IA",2016,"Republican",0,23
"250","IA",2017,"Republican",0,24
"251","ID",2000,"Republican",4,14
"252","ID",2001,"Republican",0,12
"253","ID",2002,"Republican",0,12
"254","ID",2003,"Republican",1,13
"255","ID",2004,"Republican",0,13
"256","ID",2005,"Republican",2,15
"257","ID",2006,"Republican",6,16
"258","ID",2007,"Republican",7,14
"259","ID",2008,"Republican",1,15
"260","ID",2009,"Republican",1,16
"261","ID",2010,"Republican",3,16
"262","ID",2011,"Republican",0,20
"263","ID",2012,"Republican",0,18
"264","ID",2013,"Republican",0,16
"265","ID",2014,"Republican",0,19
"266","ID",2015,"Republican",0,19
"267","ID",2016,"Republican",0,18
"268","ID",2017,"Republican",0,20
"269","ID",2018,"Republican",0,21
"270","ID",2019,"Republican",1,20
"271","IL",2000,"Republican",5,2
"272","IL",2001,"Republican",3,3
"273","IL",2002,"Republican",0,3
"274","IL",2003,"Democrat (2nd Gov. mid-year)",0,3
"275","IL",2004,"Democrat",0,3
"276","IL",2005,"Democrat",0,3
"277","IL",2006,"Democrat",5,3
"278","IL",2007,"Democrat",7,3
"279","IL",2008,"Democrat",9,4
"280","IL",2009,"Democrat",12,4
"281","IL",2010,"Democrat",7,5
"282","IL",2011,"Democrat",3,5
"283","IL",2012,"Democrat",3,5
"284","IL",2013,"Democrat",0,5
"285","IL",2014,"Democrat",0,5
"286","IL",2015,"Republican (2nd Gov. mid-year)",0,5
"287","IL",2016,"Republican",1,5
"288","IL",2017,"Republican",0,5
"289","IL",2018,"Republican",0,5
"290","IL",2019,"Republican",0,5
"291","IN",2000,"Democrat",2,2
"292","IN",2001,"Democrat",0,2
"293","IN",2002,"Democrat",0,2
"294","IN",2003,"Democrat",0,2
"295","IN",2004,"Democrat",1,2
"296","IN",2005,"Republican (2nd Gov. mid-year)",1,2
"297","IN",2006,"Republican",4,2
"298","IN",2007,"Republican",18,2
"299","IN",2008,"Republican",7,3
"300","IN",2009,"Republican",2,4
"301","IN",2010,"Republican",4,4
"302","IN",2011,"Republican",5,5
"303","IN",2012,"Republican",3,4
"304","IN",2013,"Republican",1,5
"305","IN",2014,"Republican",0,5
"306","IN",2015,"Republican",4,5
"307","IN",2016,"Republican",0,6
"308","IN",2017,"Republican",0,6
"309","IN",2018,"Republican",0,6
"310","IN",2019,"Republican",0,5
"311","IN",2020,"Republican",1,6
"312","IN",2021,"Republican",3,6
"313","IN",2022,"Republican",0,7
"314","IN",2023,"Republican",2,7
"315","KS",2000,"Republican",2,1
"316","KS",2001,"Republican",0,1
"317","KS",2002,"Republican",0,1
"318","KS",2003,"Democrat (2nd Gov. mid-year)",0,2
"319","KS",2004,"Democrat",0,2
"320","KS",2005,"Democrat",0,2
"321","KS",2006,"Democrat",1,2
"322","KS",2007,"Democrat",0,2
"323","KS",2008,"Democrat",2,4
"324","KS",2009,"Democrat",4,4
"325","KS",2010,"Democrat",0,5
"326","KS",2011,"Republican (2nd Gov. mid-year)",0,5
