"","State","Year","New_Policies"
"245","KY","2004",1
"246","KY","2006",8
"247","KY","2007",2
"248","KY","2008",1
"249","KY","2009",4
"250","KY","2010",4
"251","KY","2015",2
"252","KY","2016",1
"253","KY","2020",1
"254","KY","2023",1
"255","KY","2024",7
"256","LA","2003",2
"257","LA","2004",1
"258","LA","2006",1
"259","LA","2007",2
"260","LA","2009",2
"261","LA","2010",2
"262","LA","2015",5
"263","LA","2016",1
"264","LA","2021",1
"265","LA","2022",1
"266","LA","2023",2
"267","LA","2024",4
"268","MA","2000",10
"269","MA","2003",1
"270","MA","2006",19
"271","MA","2007",3
"272","MA","2009",5
"273","MA","2010",5
"274","MA","2011",4
"275","MA","2012",1
"276","MA","2015",2
"277","MA","2016",1
"278","MA","2017",1
"279","MA","2019",1
"280","MA","2020",1
"281","MA","2021",11
"282","MA","2022",2
"283","MA","2023",7
"284","MA","2024",3
"285","MA","2025",13
"286","MD","2006",4
"287","MD","2009",12
"288","MD","2010",6
"289","MD","2011",4
"290","MD","2012",2
"291","MD","2014",1
"292","MD","2015",7
"293","MD","2021",8
"294","MD","2025",8
"295","MD","2000",5
"296","MD","2001",2
"297","MD","2005",1
"298","MD","2002",1
"299","MD","2004",1
"300","MD","2007",2
"301","MD","2008",5
"302","MD","2017",1
"303","MD","2019",1
"304","MD","2020",1
"305","MD","2023",1
"306","MD","2024",3
"307","ME","2000",3
"308","ME","2003",1
"309","ME","2005",1
"310","ME","2006",3
"311","ME","2009",3
"312","ME","2010",1
"313","ME","2011",1
"314","ME","2012",1
"315","ME","2013",1
"316","ME","2018",1
"317","ME","2021",2
"318","ME","2022",1
"319","ME","2023",3
"320","ME","2024",6
"321","ME","2025",3
"322","MI","2003",1
"323","MI","2000",1
"324","MI","2001",1
"325","MI","2004",1
"326","MI","2006",5
"327","MI","2007",2
"328","MI","2008",1
"329","MI","2009",10
"330","MI","2010",11
"331","MI","2011",2
"332","MI","2014",1
"333","MI","2015",1
"334","MI","2021",7
"335","MI","2023",1
"336","MI","2024",6
"337","MN","2000",8
"338","MN","2001",3
"339","MN","2003",1
"340","MN","2004",1
"341","MN","2005",2
"342","MN","2006",33
"343","MN","2007",33
"344","MN","2008",2
"345","MN","2009",15
"346","MN","2010",3
"347","MN","2011",5
"348","MN","2012",1
"349","MN","2013",1
"350","MN","2014",2
"351","MN","2015",3
"352","MN","2016",1
"353","MN","2019",3
"354","MN","2020",2
"355","MN","2021",4
"356","MN","2022",1
"357","MN","2023",3
"358","MO","2000",3
"359","MO","2004",1
"360","MO","2003",1
"361","MO","2006",7
"362","MO","2007",7
"363","MO","2008",8
"364","MO","2009",3
"365","MO","2010",9
"366","MO","2012",1
"367","MO","2013",1
"368","MO","2014",5
"369","MO","2016",4
"370","MO","2018",2
"371","MO","2021",2
"372","MO","2024",1
"373","MP","2011",2
"374","MP","2014",1
"375","MS","2000",1
"376","MS","2006",4
"377","MS","2008",1
"378","MS","2010",2
"379","MS","2014",1
"380","MS","2015",4
"381","MS","2017",2
"382","MS","2020",1
"383","MS","2021",1
"384","MS","2023",2
"385","MS","2024",3
"386","MT","2003",4
"387","MT","2000",3
"388","MT","2005",2
"389","MT","2001",2
"390","MT","2002",1
"391","MT","2006",7
"392","MT","2007",2
"393","MT","2009",1
"394","MT","2010",2
"395","MT","2023",1
"396","MT","2024",3
"397","NC","2000",2
"398","NC","2005",2
"399","NC","2004",1
"400","NC","2006",8
"401","NC","2007",7
"402","NC","2008",4
"403","NC","2009",14
"404","NC","2010",5
"405","NC","2011",2
"406","NC","2012",2
"407","NC","2013",1
"408","NC","2014",1
"409","NC","2015",2
"410","NC","2019",2
"411","NC","2020",1
"412","NC","2021",2
"413","NC","2022",2
"414","NC","2023",1
"415","NC","2024",6
"416","NC","2025",2
"417","ND","2000",3
"418","ND","2006",2
"419","ND","2007",2
"420","ND","2008",1
"421","ND","2011",3
"422","ND","2012",2
"423","ND","2023",1
"424","ND","2024",2
"425","NE","2000",2
"426","NE","2006",1
"427","NE","2007",1
"428","NE","2009",6
"429","NE","2010",1
"430","NE","2011",1
"431","NE","2013",1
"432","NE","2016",2
"433","NE","2018",1
"434","NE","2021",1
"435","NE","2022",1
"436","NH","2000",3
"437","NH","2006",13
"438","NH","2007",3
"439","NH","2010",4
"440","NH","2015",1
"441","NH","2016",1
"442","NH","2019",1
"443","NH","2021",1
"444","NH","2022",2
"445","NH","2023",8
"446","NH","2024",1
"447","NH","2002",1
"448","NH","2009",1
"449","NH","2011",1
"450","NJ","2000",3
"451","NJ","2001",2
