"","State","Year","Political_Party"
"56","KS",2011,"Republican to Democrat"
"57","KY",2003,"Republican to Democratic"
"58","KY",2003,"Republican to Democratic"
"59","KY",2007,"Democratic to Republican"
"60","KY",2007,"Democratic to Republican"
"61","KY",2015,"Republican to Democratic"
"62","KY",2015,"Republican to Democratic"
"63","LA",2004,"Democratic to Republican"
"64","LA",2004,"Democratic to Republican"
"65","LA",2008,"Republican to Democratic"
"66","LA",2008,"Republican to Democratic"
"67","LA",2016,"Democratic to Republican"
"68","LA",2016,"Democratic to Republican"
"69","MA",2007,"Democratic to Republican"
"70","MA",2007,"Democratic to Republican"
"71","MA",2015,"Republican to Democratic"
"72","MA",2015,"Republican to Democratic"
"73","MD",2003,"Republican to Democratic"
"74","MD",2003,"Republican to Democratic"
"75","MD",2007,"Democratic to Republican"
"76","MD",2007,"Democratic to Republican"
"77","MD",2015,"Republican to Democratic"
"78","MD",2015,"Republican to Democratic"
"79","ME",2003,"Democratic to Independent"
"80","ME",2003,"Democratic to Independent"
"81","ME",2011,"Republican to Democratic"
"82","ME",2011,"Republican to Democratic"
"83","MI",2003,"Democratic to Republican"
"84","MI",2003,"Democratic to Republican"
"85","MI",2011,"Republican to Democratic"
"86","MI",2011,"Republican to Democratic"
"87","MN",2003,"Republican to Minnesota Independence Party"
"88","MN",2003,"Republican to Minnesota Independence Party"
"89","MN",2011,"Democratic-Farmer-Labor to Republican"
"90","MN",2011,"Democratic-Farmer-Labor to Republican"
"91","MO",2005,"Republican to Democratic"
"92","MO",2005,"Republican to Democratic"
"93","MO",2009,"Democratic to Republican"
"94","MO",2009,"Democratic to Republican"
"95","MO",2017,"Republican to Democratic"
"96","MO",2017,"Republican to Democratic"
"97","MS",2000,"Democratic to Republican"
"98","MS",2000,"Democratic to Republican"
"99","MS",2004,"Republican to Democratic"
"100","MS",2004,"Republican to Democratic"
"101","MT",2005,"Democratic to Republican"
"102","MT",2005,"Democratic to Republican"
"103","NC",2013,"Republican to Democratic"
"104","NC",2013,"Republican to Democratic"
"105","NH",2003,"Republican to Democratic"
"106","NH",2003,"Republican to Democratic"
"107","NH",2005,"Democratic to Republican"
"108","NH",2005,"Democratic to Republican"
"109","NH",2017,"Republican to Democratic"
"110","NH",2017,"Republican to Democratic"
"111","NJ",2002,"Democratic to Republican"
"112","NJ",2002,"Democratic to Republican"
"113","NJ",2010,"Republican to Democratic"
"114","NJ",2010,"Republican to Democratic"
"115","NM",2003,"Democratic to Republican"
"116","NM",2003,"Democratic to Republican"
"117","NM",2011,"Republican to Democratic"
"118","NM",2011,"Republican to Democratic"
"119","NV",2019,"Democratic to Republican"
"120","NV",2019,"Democratic to Republican"
"121","NY",2007,"Democratic to Republican"
"122","NY",2007,"Democratic to Republican"
"123","OH",2007,"Democratic to Republican"
"124","OH",2007,"Democratic to Republican"
"125","OH",2011,"Republican to Democratic"
"126","OH",2011,"Republican to Democratic"
"127","OK",2003,"Democratic to Republican"
"128","OK",2003,"Democratic to Republican"
"129","OK",2011,"Republican to Democratic"
"130","OK",2011,"Republican to Democratic"
"131","PA",2003,"Democratic to Republican"
"132","PA",2003,"Democratic to Republican"
"133","PA",2011,"Republican to Democratic"
"134","PA",2011,"Republican to Democratic"
"135","PA",2015,"Democratic to Republican"
"136","PA",2015,"Democratic to Republican"
"137","RI",2011,"Democratic to Republican"
"138","RI",2011,"Democratic to Republican"
"139","SC",2003,"Republican to Democratic"
"140","SC",2003,"Republican to Democratic"
"141","TN",2003,"Democratic to Republican"
"142","TN",2003,"Democratic to Republican"
"143","TN",2011,"Republican to Democratic"
"144","TN",2011,"Republican to Democratic"
"145","VA",1999,"Democratic to Republican"
"146","VA",1999,"Democratic to Republican"
"147","VA",2000,"Democratic to Republican"
"148","VA",2000,"Democratic to Republican"
"149","VA",2001,"Democratic to Republican"
"150","VA",2001,"Democratic to Republican"
"151","VA",2002,"Democratic to Republican"
"152","VA",2002,"Democratic to Republican"
"153","VA",2010,"Republican to Democratic"
"154","VA",2010,"Republican to Democratic"
"155","VA",2011,"Republican to Democratic"
"156","VA",2011,"Republican to Democratic"
"157","VA",2012,"Republican to Democratic"
"158","VA",2012,"Republican to Democratic"
"159","VA",2013,"Republican to Democratic"
"160","VA",2013,"Republican to Democratic"
"161","VA",2014,"Democratic to Republican"
"162","VA",2014,"Democratic to Republican"
"163","VA",2015,"Independent to Democratic"
"164","VA",2015,"Independent to Democratic"
"165","VA",2016,"Independent to Democratic"
"166","VA",2016,"Independent to Democratic"
"167","VA",2017,"Independent to Democratic"
"168","VA",2017,"Independent to Democratic"
"169","VA",2018,"Democratic to Independent"
"170","VA",2018,"Democratic to Independent"
"171","VA",2019,"Democratic to Independent"
"172","VA",2019,"Democratic to Independent"
"173","VT",2003,"Republican to Democratic"
"174","VT",2003,"Republican to Democratic"
"175","VT",2011,"Democratic to Republican"
"176","VT",2011,"Democratic to Republican"
"177","WI",2003,"Democratic to Republican"
"178","WI",2003,"Democratic to Republican"
"179","WI",2011,"Republican to Democratic"
"180","WI",2011,"Republican to Democratic"
"181","WV",2001,"Democratic to Republican"
"182","WV",2001,"Democratic to Republican"
"183","WV",2017,"Republican to Democratic"
"184","WV",2017,"Republican to Democratic"
"185","WY",2003,"Democratic to Republican"
"186","WY",2003,"Democratic to Republican"
"187","WY",2011,"Republican to Democratic"
"188","WY",2011,"Republican to Democratic"
