State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NE,"6,379","6,114","6,003","6,032","5,732","5,708","5,814","5,713","5,952","5,826","6,244","6,240","7,264","7,346","7,067","6,914","7,493","7,563","7,845","8,184","10,460","9,686","11,203","11,951","13,404","14,497","14,841","13,848","13,631","13,935","11,735","12,098","13,687","13,949","15,661","23,542","27,325","30,558","31,247","32,897","33,498","35,610","36,743","38,714","45,845","45,291","47,616","60,391","81,046","81,620","122,553","127,277","116,977","119,961","131,709","135,625","141,113","148,734","150,750","156,735","145,474","158,275","168,382","164,502"
NH,"15,540","14,720","15,416","15,334","15,585","14,607","15,750","15,648","16,739","17,690","16,544","17,008","17,285","19,416","18,395","17,107","20,502","21,410","23,145","25,139","25,219","26,492","24,959","28,591","26,181","25,853","29,882","27,618","28,788","31,154","33,675","29,759","32,553","32,719","30,267","30,028","34,337","31,253","29,751","29,290","28,931","23,332","21,186","20,916","26,240","30,647","26,107","30,292","33,082","38,878","41,375","41,590","41,482","47,801","50,560","57,118","52,757","54,900","51,626","50,985","37,794","38,479","39,863","38,988"
NJ,"20,187","20,614","21,038","23,285","23,810","23,912","24,491","25,111","27,067","28,018","28,760","28,804","31,067","32,611","35,079","32,854","36,800","39,684","42,867","45,068","50,354","56,051","50,775","61,926","50,546","51,400","43,547","40,758","43,367","36,567","25,896","35,811","38,434","36,935","41,646","44,140","41,931","40,109","39,413","40,356","40,916","29,896","28,638","26,451","27,265","29,087","47,692","52,973","50,295","65,510","72,326","72,030","70,938","77,873","80,738","70,278","73,768","69,317","69,202","67,919","66,791","70,039","73,187","74,408"
NM,"6,864","6,560","6,336","6,161","6,233","5,773","5,735","5,432","5,406","5,232","5,082","4,772","4,605","4,443","4,403","5,559","6,251","7,131","7,780","9,451","5,566","7,112","7,482","8,570","9,267","9,621","9,956","7,442","7,900","8,287","7,282","7,678","7,541","6,812","6,686","7,966","7,129","8,002","8,439","8,572","9,109","6,274","6,408","6,377","7,420","17,320","19,069","21,446","24,258","21,877","26,939","28,302","28,068","29,528","29,708","31,414","37,378","41,939","50,352","56,637","49,823","62,210","77,286","80,278"
NV,"7,657","6,893","7,640","7,049","6,445","6,317","7,021","6,823","6,917","6,803","6,667","6,794","6,385","6,711","6,512","7,009","6,636","7,025","7,403","7,890","10,855","9,627","8,714","18,097","23,608","19,426","19,991","11,298","9,944","12,453","12,619","15,903","15,561","17,150","15,814","17,257","17,338","19,826","22,416","22,270","21,320","20,290","19,516","18,194","18,741","18,601","19,723","20,506","23,030","26,855","27,939","28,210","30,425","34,566","35,607","40,761","46,291","50,374","54,345","58,266","57,527","63,647","72,734","74,878"
NY,"100,502","119,407","128,633","123,205","119,068","124,906","134,028","137,102","145,503","152,345","148,081","146,920","154,346","159,810","160,434","156,809","167,710","161,823","173,677","184,538","219,986","231,595","217,430","248,273","221,079","224,266","220,133","205,392","198,816","204,793","193,907","188,187","200,666","218,505","218,065","214,169","240,615","284,752","261,254","251,643","261,307","191,219","194,413","196,092","224,085","203,326","218,253","222,090","247,215","218,597","226,403","240,517","226,194","242,438","252,145","266,962","269,722","283,969","289,292","291,996","260,799","263,977","269,884","272,967"
OH,"36,822","36,264","36,861","38,113","37,942","38,645","41,464","39,598","43,406","44,407","44,097","43,457","44,878","46,549","48,339","46,247","52,786","58,541","69,599","74,626","107,332","112,984","114,273","131,158","127,271","130,101","118,602","123,816","130,203","111,192","78,689","84,217","82,355","64,688","92,928","86,216","83,243","83,483","83,194","90,671","94,967","64,839","51,814","60,200","61,954","70,162","72,797","81,156","113,362","110,872","126,008","133,265","133,625","148,389","151,836","146,601","147,894","144,526","145,712","145,507","139,734","146,858","155,282","153,083"
OK,"12,589","12,937","11,435","9,292","9,214","10,422","9,477","9,509","12,744","13,673","11,775","11,551","16,641","24,516","23,592","22,046","18,576","20,457","25,164","30,683","15,685","15,983","22,720","22,080","23,450","29,166","24,626","25,339","22,982","33,554","30,827","27,715","30,828","37,904","32,764","34,109","36,724","35,316","36,785","33,680","31,931","32,195","27,527","29,558","38,703","42,309","39,554","50,665","48,097","52,787","66,293","69,595","78,407","96,029","95,986","104,713","128,854","142,535","156,838","166,473","166,862","177,087","189,654","185,378"
OR,"98,889","98,494","102,510","102,818","110,005","114,175","115,562","117,729","128,897","153,969","159,510","176,493","181,788","154,643","179,758","175,662","188,065","156,515","186,895","179,986","190,297","202,366","242,666","253,801","262,776","242,736","245,960","228,630","230,898","214,865","199,135","196,028","156,161","169,830","152,449","185,887","206,337","212,960","184,703","199,304","178,605","152,639","168,372","160,539","164,484","159,664","186,076","177,179","184,906","191,659","188,057","230,894","229,671","223,251","232,841","225,883","237,758","255,253","252,838","236,857","235,164","225,544","237,768","236,062"
PA,"52,683","50,343","50,913","51,746","51,558","51,907","53,572","54,815","54,621","55,361","57,850","55,071","59,430","61,297","62,288","62,841","71,329","75,860","85,255","98,356","131,704","143,018","136,726","158,825","141,849","141,404","106,997","100,095","103,307","87,972","71,799","76,757","89,723","89,126","95,054","105,281","114,722","104,346","95,530","96,960","99,079","85,698","81,811","87,357","95,077","92,768","97,986","103,314","125,169","140,965","163,129","179,960","173,137","197,360","191,585","196,780","194,770","197,812","203,909","193,105","177,574","179,589","182,051","178,035"
