State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MD,"683,608","685,585","732,721","759,786","806,747","840,691","880,371","892,165","945,236","996,742","1,039,496","1,073,435","1,092,444","1,183,548","1,089,368","1,036,139","1,115,751","1,104,355","1,122,939","1,187,270","1,124,055","1,109,788","1,064,981","1,079,271","1,153,479","1,125,401","1,144,837","1,215,720","1,258,601","1,283,006","1,251,922","1,256,583","1,246,381","1,298,604","1,304,324","1,324,983","1,348,704","1,360,692","1,367,319","1,407,012","1,443,517","1,438,122","1,514,196","1,560,860","1,544,267","1,576,776","1,460,946","1,486,507","1,443,383","1,431,461","1,462,765","1,395,912","1,358,065","1,379,305","1,390,976","1,388,315","1,346,428","1,297,833","1,342,823","1,311,993","1,164,157","1,220,595","1,207,626","1,182,581"
ME,"221,342","234,232","227,233","230,263","232,154","221,878","233,856","245,188","259,100","275,865","289,310","340,995","367,249","365,405","340,255","310,880","365,850","383,377","370,296","348,846","367,076","366,431","410,302","374,088","401,679","407,955","428,362","418,390","470,989","461,237","408,073","414,907","429,331","433,680","443,192","409,737","435,907","418,836","395,645","408,243","443,007","412,740","418,306","414,953","428,475","429,464","407,733","429,579","429,493","389,563","395,546","393,616","375,922","390,870","389,665","399,556","368,409","355,026","356,505","350,692","323,501","332,964","327,804","328,596"
MI,"1,807,087","1,832,569","1,936,398","2,024,571","2,088,875","2,220,213","2,371,476","2,424,947","2,561,233","2,660,550","2,631,714","2,720,909","2,892,779","2,982,355","2,832,773","2,786,536","2,907,725","2,813,992","2,869,501","2,852,154","2,758,218","2,611,653","2,454,460","2,442,953","2,522,093","2,568,068","2,582,748","2,580,011","2,759,585","2,782,516","2,853,863","2,789,697","2,837,833","2,836,830","2,860,192","2,989,872","3,094,114","3,094,258","3,043,942","3,209,383","3,211,610","3,092,545","3,148,731","3,187,033","3,152,951","3,203,878","3,032,895","3,013,504","2,905,605","2,679,168","2,774,343","2,810,874","2,703,263","2,843,130","2,880,439","2,792,943","2,771,665","2,760,178","2,873,868","2,840,026","2,561,344","2,659,383","2,712,402","2,543,241"
MN,"708,144","712,762","749,533","759,016","798,302","845,723","902,125","906,385","967,720","1,054,849","1,080,497","1,119,593","1,180,510","1,228,840","1,205,489","1,212,678","1,262,619","1,233,709","1,318,580","1,317,715","1,192,251","1,145,104","1,150,235","1,149,001","1,211,934","1,223,172","1,210,175","1,219,310","1,325,608","1,356,678","1,399,749","1,423,114","1,432,163","1,476,438","1,512,190","1,601,592","1,669,382","1,638,039","1,613,948","1,682,954","1,735,761","1,706,313","1,767,476","1,843,962","1,846,595","1,851,444","1,821,508","1,869,802","1,874,372","1,742,930","1,813,361","1,792,762","1,747,882","1,821,090","1,868,616","1,745,523","1,770,116","1,779,751","1,857,588","1,822,664","1,640,945","1,722,694","1,756,496","1,689,356"
MO,"882,051","880,518","919,709","934,347","968,096","1,019,627","1,076,732","1,103,664","1,182,279","1,233,036","1,276,655","1,291,913","1,349,056","1,384,669","1,361,033","1,372,275","1,434,811","1,476,138","1,517,527","1,491,649","1,382,603","1,327,220","1,317,373","1,314,353","1,336,767","1,365,000","1,364,511","1,393,615","1,467,533","1,471,793","1,490,887","1,531,142","1,520,209","1,619,168","1,643,126","1,702,651","1,791,633","1,789,852","1,832,896","1,875,522","1,826,062","1,856,035","1,868,202","1,879,317","1,884,851","1,974,667","1,966,264","1,977,175","1,934,242","1,830,471","1,909,924","1,854,082","1,777,037","1,837,558","1,898,451","1,812,747","1,761,978","1,722,939","1,836,631","1,772,045","1,654,294","1,696,141","1,729,607","1,681,954"
MS,"396,572","402,528","427,940","462,800","501,790","498,462","553,102","564,500","629,570","666,632","727,934","765,301","809,594","826,443","793,510","748,989","757,338","801,880","827,464","856,438","812,052","797,416","789,869","793,376","833,356","814,503","822,593","848,586","900,034","936,818","1,015,128","1,037,042","1,062,132","1,071,986","1,089,406","1,114,962","1,137,369","1,138,146","1,136,123","1,229,948","1,242,230","1,132,668","1,170,397","1,201,624","1,206,056","1,173,361","1,209,261","1,223,586","1,163,638","1,110,149","1,153,321","1,126,395","1,112,775","1,089,942","1,102,348","1,085,094","1,071,655","1,067,882","1,104,397","1,092,194","1,035,679","1,081,477","1,098,269","1,074,319"
MT,"220,333","234,519","240,602","245,316","256,075","250,103","266,480","250,987","270,828","302,483","311,713","322,501","331,660","338,463","340,442","334,512","354,415","353,003","372,821","386,570","350,058","327,595","306,076","312,450","345,422","358,129","340,169","320,003","333,710","341,882","310,458","313,553","318,520","329,278","340,383","350,916","345,335","327,595","351,575","353,885","372,039","335,079","347,138","349,542","371,586","389,848","405,771","433,895","419,269","389,891","373,201","362,401","357,211","369,323","364,263","368,124","368,963","381,910","393,240","405,678","371,144","379,133","388,515","382,218"
NC,"799,267","830,969","871,813","899,883","933,233","964,796","1,053,561","1,095,373","1,167,204","1,230,716","1,291,421","1,347,835","1,424,361","1,493,355","1,437,788","1,395,969","1,499,019","1,586,305","1,606,288","1,671,887","1,607,409","1,572,321","1,525,783","1,594,752","1,727,564","1,733,345","1,810,587","1,904,817","1,991,109","1,997,506","2,009,568","2,005,519","2,100,066","2,194,539","2,189,090","2,318,862","2,400,141","2,384,048","2,433,538","2,462,256","2,587,711","2,529,858","2,545,210","2,542,759","2,626,745","2,661,860","2,619,752","2,661,571","2,671,034","2,513,686","2,716,889","2,588,774","2,499,341","2,503,234","2,557,339","2,548,314","2,561,023","2,507,091","2,595,129","2,566,245","2,363,742","2,519,796","2,578,739","2,472,784"
ND,"157,619","152,928","162,869","168,646","169,931","167,116","178,017","181,987","188,870","189,103","187,555","191,459","199,729","198,105","199,613","201,994","206,149","206,944","225,184","233,000","217,515","231,283","228,322","224,044","252,723","294,248","297,764","298,035","302,110","313,743","309,734","319,574","326,186","329,622","338,628","345,525","347,336","353,277","343,412","370,208","377,163","404,329","397,570","396,611","400,176","405,595","411,170","432,847","436,772","424,254","459,000","505,928","529,650","570,946","613,985","583,751","555,107","595,110","624,149","641,160","619,246","653,347","675,385","703,926"
NE,"301,500","308,179","319,984","327,610","339,293","339,976","381,090","376,563","413,164","443,915","475,135","482,962","497,611","510,150","504,806","511,589","541,770","546,830","543,846","532,397","494,171","465,352","477,177","486,000","490,603","486,078","468,296","483,697","524,318","520,576","526,493","536,262","525,031","553,948","576,203","604,571","634,831","648,029","664,539","654,753","658,506","657,462","669,254","679,281","691,976","698,718","714,178","754,246","792,458","773,922","858,000","848,376","837,542","856,122","859,049","835,564","846,564","838,416","873,966","866,742","813,101","843,971","848,127","840,136"
