State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,9,10,10,16,15,15,15,15,14,14,13,12,12,11,15,20,23,25,25,26,28,29,31,32,33,51,100,158,189,282,322,404,468
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,27,28,28,30,40,39,38,38,36,33,31,28,25,36,40,45,51,59,64,70,76,87,104,119,152,247,370,442,516,622,745,906,"1,105"
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,375,392,414,432,482,501,530,534,571,580,562,570,840,"1,073","1,250","1,387","1,569","1,736","1,881","2,113","2,647","3,655","5,858","7,137","8,169","8,783","9,340","10,625","11,707","13,258","14,806","15,619","17,803","17,876"
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,573,581,584,584,590,585,575,542,519,486,429,371,327,286,239,177,173,164,177,185,247,715,"1,499","1,813","2,364","2,784","3,302","4,972","5,662","5,892","7,419","7,757","8,962","11,514"
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,60,68,92,96,131,174,219,253,334,424,470,529,562,577,591,682,774,"1,052","1,487","1,569","1,770","2,097","2,789","3,785","4,837","7,326","12,976","16,619","18,863","19,804","22,935","27,204","36,601","39,902"
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,268,283,305,326,386,438,499,522,535,537,528,525,535,544,631,775,937,"1,050","1,179","1,248","1,354","1,511","1,917","2,199","2,730","3,659","4,778","6,003","7,472","9,456","12,036","14,542","19,281","22,521"
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,19,22,27,29,33,36,53,84,98,98,98,117,127,145,155,164,169,192,239,307,354,568,652,733,785,865,"1,077","1,207","1,424","1,646","3,524","4,531","6,420"
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,89,89,89,89,88,86,83,79,79,72,63,53,44,35,27,21,20,22,24,24,25,27,30,34,35,44,60,159,277,299,346,466,598,856
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,313,351,376,412,462,513,570,598,619,644,629,650,656,670,673,732,859,"1,029","1,161","1,242","1,320","1,386","1,497","1,604","1,691","1,746","2,021","2,664","4,044","4,474","5,955","7,437","8,257","9,637"
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,444,451,460,463,483,494,514,508,489,465,435,406,394,363,399,423,482,537,593,666,909,"1,294","1,513","1,716","1,791","1,837","1,968","2,206","2,385","2,713","3,241","3,768","4,319","5,491"
